metadata	Lyrics
Khalid□□□□□□□□□□□□□ Joy□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□ -4.173676030143714□ 336442.632625265□□ False 0.6683783113477553□□□ 1.143910927383464□□□□□ 7□ -5.435□ 0 0.006664809394776684□□□ 0.6367142433832093□□□□ 0.014038823471281405□□□ 0.16033029672597046□□□□ 0.158□ 105.022 5 black-metal□□□□□□	drake  fivio foreign like what who made this yeah yeah jb made this hahahaha six six six six six six baow yeah   drake  fivio foreign fivi sosaviralmovie i'm in thisbitch with the wooski ball in thesummer like drew league champagne got me loopy glizzy bop lookin' groovy all the demons lookin' moody what all the demons lookin' moody   drake  fivio foreign skrrt 'round there in your ends whole southside on ten not like them make men lean out benz that's how a man get blem you and your friends this herms from runway this ain't ralph lauren tell them again loved her way back when drunk so i type je t'aime but don't hit send send some bread to the pen all my g's are blessed we check in for them whole lotta charges laid to this day no confessions for them man really feel no ways these man waste no progression for them think you're bad just wait food get ate and that's just lessons for them sosa sosa fivi fivi lookin' like kd and kyrie i am my td bank is on what what my td bank is on kylie ayy ayy tribeca in the lobby all these niggas gettin' dodgy baow when we see 'em it's a body ayy ayy ayy   drake  fivio foreign fivi fivi sosa sosa viral viral movie movie i'm in this bitch with the wooski i am ball in the summer like drew league champagne got me loopy baow glizzy bop lookin' groovy baow all the demons lookin' moody all the demons lookin' moody ayy ayy ayy   fivio foreign move move get out the way get out the way lil' bitch uh say the wrong thing you'll get shot in your face brrr baow yeah fivi fivi laced laced i put the opps in they place opp yeah if you a gangster then you gotta relate ayy ayy ayy she got a face that you cannot mistake she paid for the food and we went on a date head game great huh she let me nut on her face ayy ayy ayy uh every time she link she come with an eighth baow viral you ain't never make a movie with drake baow sponsor sponsor i take a perc now i'm turned to a monster turned to a monster uh i'm in the court like i'm sorry your honor i'm sorry your honor lil' bitch baow i killed the opp but i ain't catchin' no karma baow baow yeah i killed the opp but i ain't catchin' no karma ayy ayy ayy   drake fivio foreign  sosa geek fivi fivi sosa sosa viral viral movie movie i'm in this bitch with the wooski i am ball in the summer like drew league champagne got me loopy glizzy bop lookin' groovy ayy what what all the demons lookin' moody ayy look ayy ayy   sosa geek bitch i'm a demon in the night and i'm a shark up underwater i am i got shooters in new york and i got shooters across the border what i call drake and tell him off 'em drake ayy i call drake and tell him off 'em what if they woo walk i probably taught 'em i did i got the money they say that i'm gifted fuck sale so i'm givin' out gift stamps i am highway me and fivio lifted what london man i need me a thick bitch a thick and a louis bag just so i can fit me the grip in grip i got the swag so tell me the difference mike amiri best believe they fitted she wanna fuck but i ain't with it headshot knock him off his fitted punch him out send that boy to that dentist talkin' henny it better be privilge ayy baow what it better be privilge   drake  fivio foreign fivi sosa viral movie i'm in this bitch with the wooski ball in the summer like drew league champagne got me loopy glizzy bop lookin' groovy all the demons lookin' moody what all the demons lookin' moody ayy ayy
Phoebe Bridgers□□□□ Wonderwall□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□ 8.217569044538727□□ 250178.00368465486 False 0.7282019253853083□□□ 0.21414792313784276□□□ 1□ -12.732 1 0.1683075058061378□□□□□ -0.03408737439710691□□ -0.030068588498591328□□ -0.013464491334399656□□ 0.611□ 119.256 4 metalcore□□□□□□□□	she eyes me like a pisces when i am weak i've been locked inside your heartshapedboxfor weeks i've beendrawn into your magnet tar pittrap i wish i could eat your cancer when you turnblack   heywaiti got anew complaint forever indebt to your priceless advice hey wait i got a new complaint forever in debt to your priceless advice hey wait i got a new complaint forever in debt to your priceless advice your advice   meateating orchids forgive no one just yet cut myself on angel hair and baby's breath broken hymen of 'your highness' i'm left black throw down your umbilical noose so i can climb right back   hey wait i got a new complaint forever in debt to your priceless advice hey wait i got a new complaint forever in debt to your priceless advice hey wait i got a new complaint forever in debt to your priceless advice your advice      she eyes me like a pisces when i am weak i've been locked inside your heartshaped box for weeks i've been drawn into your magnet tar pit trap i wish i could eat your cancer when you turn black   hey wait i got a new complaint forever in debt to your priceless advice hey wait i got a new complaint forever in debt to your priceless advice hey wait i got a new complaint forever in debt to your priceless advice your advice your advice your advice
Ben Howard□□□□□□□□□ Gravity□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□ 59.08220466515207□□ 151537.14418067018 False 0.5764008790674817□□□ 0.14460940379610554□□□ 6□ -8.185□ 1 0.06233427777909913□□□□ 0.14650624533042722□□□ 0.073089095346323□□□□□□ 0.11991018469082747□□□□ 0.0993 126.99□ 4 alt-rock□□□□□□□□□	c'mon  verse i still remember the hip hop shop days all i ever wanted was to get propsnotpraise a couple eyebrowssssshockshockwaves through the underground bbbut not likethis this is when the shit ggggotgot crazy i was in the studio with the docdoc drezy that's all i remember 'fore the shit gotgot hazy then we made a song called mmmy name is yeah and it skipped right over hiphop into hiphop stations top 40 on radio the kid got famous woo he made it but this was jjjust not the way this was supposed to go i'm afraid to say this but transition to it's been real
Khalid□□□□□□□□□□□□□ Freedom□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□ 76.79219038970537□□ 86253.57744222698□ False 0.41336530364509316□□ 0.46119393005384013□□□ 0□ -13.757 1 0.1487307729709192□□□□□ 0.6032430658601747□□□□ 0.05091992619165285□□□□ 0.021010309194174473□□□ 0.583□ 79.359□ 4 bluegrass□□□□□□□□	am and my neighbors hate me music blasting shaking these walls this time mary jane won't save me i've been working later i've been drinking stronger i've been smoking deeper but the memories won't stop   i can't stop thinking 'bout you i can't stop thinking 'bout you i can't get high i can't get by i can't get through i can't stop thinking 'bout you   like poison coursing through me so clear my vision is blurred the haze won't put my mind at ease i've been sleeping later i've been breathing stronger i've been digging deeper but the memories won't stop   i can't stop thinking 'bout you i can't stop thinking 'bout you i can't get high i can't get by i can't get through i can't stop thinking 'bout you   i want you all say it before you run out of time i want you all say it before it's too late i want you all say what i am feeling now i want you all waiting is insane   i can't stop thinking 'bout you i can't stop thinking 'bout you i can't get high i can't get by i can't get through i can't stop thinking 'bout you i can't stop thinking 'bout you i can't get high i can't get by i can't get through i can't stop thinking 'bout you
Taylor Swift□□□□□□□ Hell Yeah□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□ 50.468340392547425□ 239110.8127296257□ False 0.5984511527459544□□□ 0.6120738477369358□□□□ 7□ -7.884□ 0 0.142341225662802□□□□□□ -0.018218599514001656□ 0.011174974961085899□□□ 0.20119798371626407□□□□ 0.0408 117.148 4 acoustic□□□□□□□□□	it's so relieving to know that you're leaving as soon as you get paid it's so relaxingtohear that you'reasking whenever you get your way it's sosoothing to know that you'll sue me starting to sound the same   i miss the comfort in being sad i miss the comfort in being sad i miss the comfort in being sad   in her false witness hope you're still with us to see if they float or drown our favorite patient a display of patience diseasecovered puget sound she'll come back as fire to burn all the liars leave a blanket of ash on the ground   i miss the comfort in being sad i miss the comfort in being sad i miss the comfort in being sad      it's so relieving to know that you're leaving as soon as you get paid it's so relaxing to know that you're asking whenever you get your way it's so soothing to know that you'll sue me starting to sound the same   i miss the comfort in being sad i miss the comfort in being sad i miss the comfort in being sad
Cardi B□□□□□□□□□□□□ Scars□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□ 24.465597608717033□ 211453.1613161072□ False 0.5417429860145364□□□ 0.9178066876382098□□□□ 0□ -3.493□ 1 0.05571511416455225□□□□ -0.005873978380584219□ -0.04317248410778085□□□ 0.1792536073193604□□□□□ 0.268□ 190.151 4 house□□□□□□□□□□□□	uh kyuh rrrrrrrr   yo i'ma give 'em what they asked for on my james brown flow with my afro uh tell 'em meet me in the back though and they better have my motherfuckin' cash flow when i'm chillin' out in houston with the astros and they know that i get flyer than an acrobat they can't see me from the back row back i shut it down with my clique though clack i know what i don't know always pregnant with some sons but i don't show uh new york i'm in soho gotta hit the uk for some promo uh  pre on it i'm not entertained me and you are not the same bringing it back like rogaine let us do us like romaine i think i'm insane i think i'm insane on it i'm not entertained i think i'm insane   i know you i know you i know you wanna touch i know you i know you i know you wanna touch i know you i know you i know you wanna touch keep trying baby good luck i know you i know you i know you wanna touch i know you i know you i know you wanna touch i know you i know you i know you wanna touch keep trying baby good luck   yo i know not to doze off all the boys wanna see me with my clothes off uh vip and it's closed off wanna kiss him 'cause his lips look so soft uh gotta tell em hoes hold off none of them could've did what i pulled off uh doors up when i pulled off and i been good with that mic like a bull's court why you tryna get up all in it do you golf 'cause you tryna put your balls in it uh i'm just asking a question is you driving or is you a pedestrian could i come through your crib with my best friend could i ride that uh like equestrians uh  pre on it i'm not entertained me and you are not the same bringing it back like rogaine let us do us like romaine i think i'm insane i think i'm insane on it i'm not entertained i think i'm insane   i know you i know you i know you wanna touch i know you i know you i know you wanna touch i know you i know you i know you wanna touch keep trying baby good luck i know you i know you i know you wanna touch i know you i know you i know you wanna touch i know you i know you i know you wanna touch keep trying baby good luck
Justin Bieber□□□□□□ Dive□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□ 35.99640078451458□□ 363659.8227255948□ False 0.5536433156293695□□□ 0.9210466522823161□□□□ 9□ -10.48□ 1 0.052787740773047175□□□ 0.4438256305313247□□□□ 0.07330792427189875□□□□ 0.18689540666993718□□□□ 0.112□ 136.488 4 show-tunes□□□□□□□	hangin' 'round downtown by myself and i had so much time to sit and think about myself and then there she was like double cherry pie yeah there she was like disco superfly   i smell sex and candy here who's that lounging in my chair who's that casting devious stare in my direction mama this surely is a dream yeah mama this surely is a dream yeah   hangin' 'round downtown by myself and i had too much caffeine and i was thinkin' 'bout myself and then there she was wearin that platform double suede yeah there she was like disco lemonade   i smell sex and candy here who's that lounging in my chair who's that casting devious stare in my direction mama this surely is a dream yeah mama this surely is a dream yeah   i smell sex and candy here who's that lounging in my chair who's that casting devious stare in my direction mama this surely is a dream yeah mama this surely is a dream yeah
Rihanna□□□□□□□□□□□□ Murder□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□ 48.28656023923925□□ 362185.99123909033 False 0.5431571538290187□□□ 0.42942712245149495□□□ 0□ -4.377□ 0 0.009293009454800244□□□ 0.9041502049213469□□□□ 0.017855714398723174□□□ 0.1596655176472218□□□□□ 0.2□□□ 122.001 4 deep-house□□□□□□□	what am i supposed to say i wanna look you in the eyes and tell youit'sokay but i can'tit hurts to know at the endof the day all i can do is hope hope to my core 'cause i don't know anymore thought that heroes don't fall out the sky   that was before you got sick before they found out before when everything was perfect but now it's all upside down oh if god could grant me one wish for today i would take your pain let me take your place right now   every night and every day you were fighting but you never showed it on your face i don't know what i would do baby i would be so lost if i ever lost you oh in my dreams there i used to see from a distance i'd watch you fly   that was before you got sick before they found out before when everything was perfect but now it's all upside down oh if god could grant me one wish for today i would take your pain let me take your place right now   i wanna hold all of your tears and use them all to wash away the hurt i wanna save you from your fears just to get you back the way you were   before you got sick before when everything was perfect but now it's all upside down oh if god could grant me one wish for today i would take your pain i would take your place right now oh if god could grant me one wish for today i would take your pain i would take your place right now
Taylor Swift□□□□□□□ Lost□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□ 82.22051202513131□□ 167816.7738521744□ False 0.6515159783954312□□□ 0.5243492583473774□□□□ 2□ -4.153□ 1 0.09792383804277878□□□□ 0.005509618519161754□□ 0.08289878383697896□□□□ 0.21619472924465544□□□□ 0.862□ 105.965 4 breakbeat□□□□□□□□	hook i used to visit all the very gay places those come what may places where one relaxes on the axis of the wheel of life to get the feel of life from jazz and cocktails the girls i knew had sad and sullen gray faces with distingu traces that used to be there you could see where they'd been washed away by too many through the day twelve o'clocktails  then you came along with your siren's song to tempt me to madness i thought for a while that your pointed smile was tinged with the sadness of a great love for me ah yes i was wrong again i was wrong   life is lonely again and only last year everything seemed so assured now life is awful again and the thoughtful of heart could only be a bore  a week in paris will ease the bite of it all i care is to smile in spite of it i'll forget you i will and yet you are still burning inside my brain  romance is mush stifling those who strive i'll live a lush life in some small dive and there i'll be while i rot with the rest of those whose lives are lonely too
Taylor Swift□□□□□□□ Not Afraid□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□□ 51.12298655896469□□ 211397.89453997725 False 0.5570247518543505□□□ 0.67219290857164□□□□□□ 0□ -4.196□ 1 0.06226010466573758□□□□ 0.3421268720605462□□□□ -0.033993804716906204□□ 0.4253709370711816□□□□□ 0.42□□ 123.999 4 singer-songwriter	you've got a fast car i want a ticket to anywhere maybe we can make a deal maybe together we can get somewhere anyplace is better starting from zero got nothing to lose maybe we'll make something me myself i've got nothing to prove   you've got a fast car i've got a plan to get us outta here i've been working at the convenience store managed to save just a little bit of money we won't have to drive too far just across the border and into the city you and i can both get jobs finally see what it means to be living   see my old man's got a problem he lives with a bottle that's the way it is says his body's too old for working his body's too young to look like his my momma went off and left him she wanted more from life than he could give said somebody's gotta take care of him so i quit school and that's what i did  pre you've got a fast car is it fast enough so we can fly away we've gotta make a decision leave tonight or live and die this way   so i remember when we were driving driving in your car speed so fast felt like i was drunk city lights lay out before us and your arms felt nice wrapped around my shoulders and ii had a feeling that i belonged and ii had a feeling i could be someone be someone be someone  4 you got a fast car we go cruising to entertain ourselves you still ain't got a job i work in a market as a checkout girl i know things will get better you'll find work and i'll get promoted we'll move out of the shelter buy a bigger house and live in the suburbs   so i remember when we were driving driving in your car speed so fast felt like i was drunk city lights lay out before us and your arms felt nice wrapped around my shoulders and ii had a feeling that i belonged and ii had a feeling i could be someone be someone be someone  5 you've got a fast car i've got a job that pays all our bills you stay out drinking late at the bars see more your friends than you do your kids i always hoped for better that maybe together you and me would find it i got no plans i ain't going nowhere so take your fast car and keep on driving   so remember when we were driving driving in your car speed so fast felt like i was drunk city lights lay out before us and your arms felt nice wrapped around my shoulders and ii had a feeling that i belonged and ii had a feeling i could be someone be someone be someone   you've got a fast car is it fast enough so you can fly away you've gotta make a decision leave tonight or live and die this way this way yeaheaheaheah eah mmmm
