Artist,Title,Lyrics,track_id,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre
John Mayer,Heartbreak Warfare," Lightning strikes Inside my chest to keep me up at night Dream of ways To make you understand my pain   Clouds of sulfur in the air Bombs are falling everywhere It's heartbreak warfare Once you want it to begin No one really ever wins In heartbreak warfare   If you want more love, why don't you say so? If you want more love, why don't you say so?  Verse  Drop his name Push it in and twist the knife again Watch my face As I pretend to feel no pain, pain, pain   Clouds of sulfur in the air Bombs are falling everywhere It's heartbreak warfare Once you want it to begin No one really ever wins In heartbreak warfare   If you want more love, why don't you say so? If you want more love, why don't you say so?   How come the only way to know how high you get me Is to see how far I fall? God only knows how much I'd love you if you let me But I can't break through it all   It's a heart, heartbreak I don't care if we don't sleep at all tonight Let's just fix this whole thing now I swear to God, we're going to get it right If you lay your weapon down   Red wine and Ambien You're talking shit again It's heartbreak warfare Good to know it's all a game Disappointment has a name It's heartbreak, heartbreak   It's heartbreak warfare It's heartbreak warfare It's heartbreak warfare",4gs07VlJST4bdxGbBsXVue,65,269720,False,0.624,0.554,2,-8.113,1,0.0225,0.191,0.00131,0.299,0.311,97.031,4,singer-songwriter
Taylor Swift,This Love,clear blue water high tide came and brought you in and i could go on and on on and on and i will skies grew darker currents swept you out again and you were just gone and gone gone and gone  pre  in silent screams and wildest dreams i never dreamed of this    this love is good this love is bad this love is alive back from the dead ohoh oh these hands had to let it go free and this love came back to me ohoh oh ohoh oh ohoh oh   tossing turning struggled through the night with someone new and i could go on and on on and on lantern burning flickered in my mind only you but you were still gone gone gone  pre  been losing grip on sinking ships you showed up just in time    this love is good this love is bad this love is alive back from the dead ohoh oh these hands had to let it go free and this love came back to me ohoh oh this love left a permanent mark this love is glowing in the dark ohoh oh these hands had to let it go free and this love came back to me ohoh oh  post this love this love this love this love oh this love this love this love this love oh this love this love this love this love oh this love this love this love this love oh   your kiss my cheek i watched you leave your smile my ghost i fell to my knees when you're young you just run but you come back to what you need    this love is good this love is bad this love is alive back from the dead ohoh oh these hands had to let it go free and this love came back to me ohoh oh this love this love left a permanent mark this love this love is glowing in the dark ohoh oh this love these hands had to let it go free and this love this love came back to me ohoh oh  post this love this love this love this love oh this love this love this love this love oh this love this love this love this love this love this love came back to me ohoh oh,0Yfpc5zHc9pElVCQ1bPlF4,61,393706,True,0.402,0.73,6,-9.327,1,0.0455,0.000312,0.323,0.103,0.296,104.527,4,groove
BTS (),I NEED U,jungkook  rm fall everything fall everything fall everything  fall everything fall everything fall everything    suga  jhope                                              pre  v rm  suga but you're my everything you're my everything you're my everything you're my    huh  i hate you  i hate you  shit   jimin i need you girl      i need you girl         post jungkook jimin rm  both i need you girl   i need you girl   i need you girl i need you girl i need you girl i need you girl   rm  v with jungkook it goes round and round     i go down and down                                               pre  jin                        jungkook i need you girl      i need you girl         post jungkook rm both  jimin i need you girl   i need you girl   i need you girl i need you girl i need you girl i need you girl   jin v  jungkook with jimin girl     girl     oh             ohoh   jungkook  jimin i need you girl oh    oh baby   i need you girl          post jungkook rm both  jimin i need you girl   i need you girl yeah   i need you girl i need you girl i need you girl i need you girl yeah,1GunnGtZCSjLUAPG6yrDUC,63,210986,False,0.482,0.858,5,-4.169,0,0.069,0.0218,0.0,0.244,0.737,158.075,4,k-pop
Justin Bieber,Oxygen,crying up above i'm just here to take you away you away you away don't worry 'bout a thing i'm just focused on you today you today yeah oh  pre you're laid out you were raised up in a poor town roll up baby roll up so hard to leave but i know i gotta go now paris and london on top of the world baby we're so down will you be my girl something i wanna say yeah you know i'll be there   i'll be there for you even though i'm gone holding you close babe close to my heart i'll be there for you even though i'm gone holding you close babe close to my heart   i see my phone ring hope it's you babe you sent me a picture well i sent one too i'm just tryna keep this love on track oh babe i got your heart and i won't give it back  pre you're laid out you were raised up in a poor town roll up baby roll up so hard to leave but i know i gotta go now paris and london on top of the world baby we're so down will you be my girl something i wanna say yeah you know i'll be there   i'll be there for you even though i'm gone holding you close babe close to my heart i'll be there for you even though i'm gone holding you close babe close to my heart   holding you close to my heart uh yeah so i'm laid back in the maybach damn these seats go way back i was thinking about way back when we used to say that i was yours you were mine and we fought to pass the time and i realized i realized that we babe no matter what babe no matter what babe no matter what oh babe babe babe yeah yeah   i'll be there for you even though i'm gone holding you close babe close to my heart i'll be there for you even though i'm gone holding you close babe close to my heart i'll be there for you even though i'm gone holding you close babe close to my heart i'll be there for you even though i'm gone holding you close babe close to my heart,5IMokIemTXiKhFLNwkcmpj,15,224464,False,0.579,0.961,1,-4.258,1,0.0694,3.72e-05,0.788,0.0927,0.338,104.977,3,breakbeat
Khalid,Would You,would you ride for me lie for me die for me vibe with me i don't want this to end but i'm not your man so when this hits the fan would you   i've got a girl on my way and she looks like rihanna babygirl i'm legit i'd probably wife up your momma catch me rolling to the spot in my blacked out honda my main girl is foreign and she tastes like designer netflix and chillling so get out of your feelings if you never do business leave the building i want a bad girl with a little bit of class drop the attitude just leave the frustration in the past    to the 4 counting down the time until our bodies hit the floor just a young dude don't know why i'm feeling you but i don't want a relation so   i got a girl on my way and she look like rihanna babygirl i'm legit i'd probably wife up your momma catch me rolling to the spot in my blacked out honda my main girl is foreign and she tastes like designer netflix and chillling so get out of your feelings if you never do business leave the building i want a bad girl with a little bit of class drop the attitude just leave the frustration in the past netflix and chillling so get out of your feelings if you never do business leave the building i want a bad girl with a little bit of class drop the attitude just leave the frustration in the past   would you ride for me lie for me die for me vibe with me i don't want this to end but i'm not your man so when this hits the fan would you ride for me   netflix and chillling so get out of your feelings if you never do business leave the building i want a bad girl with a little bit of class drop the attitude just leave the frustration in the past netflix and chillling so get out of your feelings if you never do business leave the building i want a bad girl with a little bit of class drop the attitude just leave the frustration in the past   would you ride for me lie for me die for me vibe with me i don't want this to end but i'm not your man so when this hits the fan would you ride for me,0O1AS0YY1abFpXYNfAE81n,50,146896,False,0.745,0.419,7,-13.165,1,0.0412,0.134,0.419,0.125,0.222,116.029,4,deep-house
Ed Sheeran,Sing,it's late in the evening glass on the side i've been sat with you for most of the night ignorin' everybody here we wish they would disappear so maybe we could get down now and i don't wanna know if you're gettin' ahead of the program i want you to be mine lady to hold your body close take another step into the noman's land and for the longest time lady  pre i need you darling come on set the tone if you feel you're fallin' wont you let me know if you love me come on get involved feel it rushin' through you from your head to toe   sing louder sing   this love is ablaze i saw flames from the side of the stage and the fire brigade comes in a couple of days until then we got nothin' to say and nothin' to know but somethin' to drink and maybe somethin' to smoke let it go until our roads are changed singin' we found love in a local rave no i don't really know what i'm supposed to say but i can just figure it out then hope and pray i told her my name then said it's nice to meet you then she handed me a bottle of water filled with tequila i already know if she's a keeper just from this one small act of kindness i'm in deep shit if anybody finds out i meant to drive home but i drunk all of it now not soberin' up we just sit on the couch one thing led to another now she's kissin' my mouth  pre i need you darling come on set the tone if you feel you're fallin' wont you let me know if you love me come on get involved feel it rushin' through you from your head to toe   sing louder sing   can you feel it all the guys in here don't even wanna dance can you feel it all that i can hear is music from the back but can you feel it found you hidin' here so won't you take my hand darlin' before the beat kicks in again can you feel it can you feel it  final  sing i need you darling come on set the tone if you feel you're fallin' wont you let me know louder sing if you love me come on get involved feel it rushin' through you from your head to toe louder sing,4yA2SM7XCLkSgkBUSoZb5S,69,228800,False,0.33,0.905,4,-5.047,1,0.0497,0.000233,8.14e-06,0.0712,0.259,163.142,4,r-n-b
Nicki Minaj,Intro,you know a lot of people ask me why i feel that you know i've gotten a lot of notoriety so quickly and i dont know people seem to be under the impression that ive made it to this point fast and you know obviously for me i dont feel like that 'cause it's me you know i feel like ive been doing it for ten billion years but every time someone says something like that to me i remember to just thank god for getting me this far 'cause sometimes you dont realize how far youve gotten until you look around and look at the people who are still trailing so far behind you and i know that no matter what in the end it's not going to be about my talent you know it's not going to be about connections its not gonna be about my looks it's gonna be about who wants it the most and i want it the most,31Mf3aGYOpabMv9Nl6bLPn,19,86373,True,0.146,0.993,9,-3.506,1,0.091,1.4e-06,0.91,0.266,0.502,190.151,4,black-metal
Coldplay,Charlie Brown,oooo wooo   stole a key took a car downtown where the lost boys meet took a car downtown and took what they offered me to set me free i saw the lights go down at the end of the scene saw the lights go down and standing in front of me  hook oooooooooo   in my scarecrow dreams when they smash my heart into smithereens be a bright red rose come bursting through concrete be a cartoon heart light a fire a fire a spark light a fire a flame in my heart well run wild well be glowing in the dark  hook oooooooooo well be glowing in the dark awooawooooo   all the boys all the girls all that matters in the world all the boys all the girls all the madness that occurs all the highs all the lows as the room aspinning goes well run riot well be glowing in the dark  hook oooooooooo   so well soar luminous and wired well be glowing in the dark,4Jpx1DL37PvEcP3egmYk2D,42,286306,False,0.458,0.754,2,-11.326,1,0.0906,0.368,2.44e-05,0.878,0.797,135.225,4,mpb
Lady Gaga,Gypsy,sometimes a story has no end sometimes i think that we could just be friends 'cause i'm a wandering man he said to me and what about the future plans does this thing we have even makes sense when i got the whole world in front of me so i said    i don't wanna be alone forever but i can be tonight i don't wanna be alone forever but i love gypsy life i don't wanna be alone forever maybe we can see the world together i don't wanna be alone forever but i can be tonight tonight   so i just packed my baggage and said goodbye to family and friends and took a road to nowhere on my own like dorothy on a yellow brick hope my ruby shoes get us there quick 'cause i left everyone i love at home    i don't wanna be alone forever but i can be tonight i don't wanna be alone forever but i love gypsy life i don't wanna be alone forever maybe we can see the world together i don't wanna be alone forever but i can be tonight tonight  hook 'cause i'm i'm i'm i'm i'm i'm a gypsy gypsy gypsy i'm i'm i'm i'm i'm i'm i'm a gypsy gypsy gypsy i'm i'm i'm i'm i'm i'm i'm a gypsy gypsy gypsy i'm i'm i'm i'm i'm i'm i'm a gypsy gypsy gypsy i'm   and then he asked me he said baby why do we love each other i said honey it's simple it's the way that you love and treat your mother    thought that i would be alone forever but i won't be tonight i'm a man without a home but i think with you i could spend my life and you'll be my little gypsy princess pack your bags and we can chase the sunset bust the rearview and fire up the jets 'cause it's you and me baby for life if you go with me for life see the world with me  hook 'cause i'm i'm i'm i'm i'm i'm a gypsy gypsy gypsy i'm i'm i'm i'm i'm i'm i'm a gypsy gypsy gypsy i'm   russia uk paris i'm italian asian kompai africa india i'm a gypsy gypsy gypsy i'm latinamerican i don't speak german but i try someday in jakarta i'm american i'm gypsy i'm bangkok australian malaysia sweden finland norway be my home just for the day i'm a gypsy gypsy gypsy hey,3X743fO7cwXAugb1zYVNjG,46,130440,False,0.632,0.515,4,-12.226,0,0.0307,0.389,0.928,0.407,0.522,113.947,4,new-age
Ben Howard,The Fear," My, my cold hearted child Tell me how you feel Just a blade in the grass A spoke unto the wheel  My, my cold hearted child Tell me where it's all gone All the luster of your bones Those arms that held you strong   I've been worryin' That my time here's a little unclear I've been worryin' That I'm losing the ones I hold dear  I've been worryin' That we all Live our lives In the confines of fear   Oh, my, my cold hearted child Tell me how you feel Just a grain in the morning air Dark shadow on the hill  Oh, my, my cold hearted child Tell me where it all falls (Tell me where it all falls) All this apathy you feel Will make a fool of us all   I've been worryin' That my time here's a little unclear I've been worryin' That I'm losing the ones I hold dear  I've been worryin' That we all Live our lives In the confines of fear     Oh, I will become what I deserve Oh, I will become what I deserve Oh, I will become what I deserve Oh, I will become what I deserve  I've been worryin', I've been worryin' (Oh, I will become what I deserve) I've been worryin' my time is a little unclear (Oh, I will become what I deserve)   Oh, I've been worryin', I've been worryin' That my time here's a little unclear I've been worryin', I've been worryin' That I'm losing the ones I hold dear  I've been worryin', I've been worryin' That we all Al live our lives In the confines of fear, oh",4WbTMyywJtvUNhmVKa0oSM,30,161205,True,0.444,0.674,5,-6.675,1,0.0341,0.586,0.000147,0.109,0.698,111.377,3,acoustic
